CODI_CAPA,CAPA_GENERICA,NOM_CAPA,ED50_COORD_X,ED50_COORD_Y,ETRS89_COORD_X,ETRS89_COORD_Y,LONGITUD,LATITUD,EQUIPAMENT,DISTRICTE,BARRI,NOM_DISTRICTE,NOM_BARRI,ADRECA,TELEFON,counter_NEG,counter_POS,nor_counter_NEG,nor_counter_POS
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431147.197,4586956.262,431055.26,4586755.284,2.174845,41.429404,METRO (L5) - VIRREI AMAT (Pl. de Virrei Amat)-,8.0,44.0,Nou Barris,Vilapicina i la Torre Llobeta,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431749.114,4586289.143,431657.171,4586088.171,2.182124,41.423447,METRO (L5) - CONGRÃ‰S (Pl. dels Indians)-,9.0,62.0,Sant Andreu,el CongrÃ©s i els Indians,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,430500.64,4583600.069,430408.708,4583399.122,2.167494,41.399121,METRO (L5) - VERDAGUER (C. de BailÃ¨n)-,2.0,7.0,Eixample,la Dreta de l'Eixample,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432817.70700000005,4585372.645,432725.754,4585171.681,2.195013,41.415283,METRO (L2) - BAC DE RODA-,10.0,72.0,Sant MartÃ­,Sant MartÃ­ de ProvenÃ§als,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,432675.552,4586980.098,432583.601,4586779.119,2.193133,41.429748,"METRO (L9, L10) - ONZE DE SETEMBRE-",9.0,60.0,Sant Andreu,Sant Andreu,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,428425.993,4584117.19,428334.08,4583916.239,2.142617,41.403596,FGC (L7) - PADUA-,5.0,26.0,SarriÃ -Sant Gervasi,Sant Gervasi - Galvany,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,428473.536,4583567.057,428381.623,4583366.1110000005,2.143251,41.398645,FGC (L6) - MUNTANER-,5.0,26.0,SarriÃ -Sant Gervasi,Sant Gervasi - Galvany,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431788.586,4584470.244,431696.643,4584269.289,2.182802,41.407068,METRO (L2) - ENCANTS (C. de ValÃ¨ncia)-,10.0,64.0,Sant MartÃ­,el Camp de l'Arpa del Clot,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,429175.608,4583674.947,429083.688,4583474.0,2.151636,41.399679,"FGC (L6,L7) - GRÃ€CIA (C. de MariÃ  CubÃ­)-",5.0,26.0,SarriÃ -Sant Gervasi,Sant Gervasi - Galvany,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,427013.72,4583570.427,426921.82,4583369.481000002,2.125789,41.398544,FGC (L6) - SARRIÃ€-,5.0,24.0,SarriÃ -Sant Gervasi,les Tres Torres,,,0,0,0,0
K001,Transports i serveis relacionats,Metro i lÃ­nies urbanes FGC,431544.12,4582842.456,431452.178,4582641.516,2.180061,41.392387,METRO (L1) - ARC DE TRIOMF-,2.0,5.0,Eixample,el Fort Pienc,,,28,4,18,82
